team,gpt_sent_score_avg
Long Beach State,68.66666666666667
Longwood,72.0
Louisiana,60.666666666666664
Louisiana Monroe,60.333333333333336
Louisiana State,74.33333333333333
Louisiana Tech,80.66666666666667
Louisville,72.66666666666667
Loyola (MD),68.66666666666667
Loyola Chicago,76.66666666666667
Loyola Marymount,66.0
Maine,54.0
Manhattan,38.0
Marist,63.333333333333336
Marquette,75.0
Marshall,61.666666666666664
Maryland,78.33333333333333
Maryland Baltimore County,63.0
Maryland Eastern Shore,64.33333333333333
Massachusetts,66.33333333333333
Massachusetts Lowell,70.33333333333333
McNeese State,59.0
Memphis,82.0
Mercer,69.33333333333333
Merrimack,72.66666666666667
Miami (FL),82.0
Miami (OH),58.0
Michigan,80.66666666666667
Michigan State,84.66666666666667
Middle Tennessee,73.33333333333333
Milwaukee,61.666666666666664
Minnesota,74.66666666666667
Mississippi,74.0
Mississippi State,74.66666666666667
Mississippi Valley State,38.666666666666664
Missouri,76.0
Missouri State,50.0
Monmouth,62.0
Montana,62.666666666666664
Montana State,71.33333333333333
Morehead State,73.0
Morgan State,67.33333333333333
Mount St. Mary's,56.666666666666664
Murray State,71.33333333333333
NJIT,36.0
Navy,62.0
Nebraska,65.66666666666667
Nebraska Omaha,59.333333333333336
Nevada,76.33333333333333
Nevada Las Vegas,72.33333333333333
New Hampshire,64.66666666666667
New Mexico,64.0
New Mexico State,68.0
New Orleans,65.0
Niagara,62.0
Nicholls State,65.66666666666667
Norfolk State,73.33333333333333
North Alabama,70.33333333333333
North Carolina,81.33333333333333
North Carolina A&T,64.33333333333333
North Carolina Central,58.666666666666664
North Carolina State,74.66666666666667
North Dakota,61.0
North Dakota State,69.0
North Florida,68.33333333333333
North Texas,72.66666666666667
Northeastern,61.333333333333336
Northern Arizona,65.0
Northern Colorado,64.66666666666667
Northern Illinois,48.0
Northern Iowa,73.33333333333333
Northern Kentucky,67.0
Northwestern,74.0
Northwestern State,66.0
Notre Dame,66.33333333333333
Oakland,56.666666666666664
Ohio,77.66666666666667
Ohio State,80.0
Oklahoma,73.0
Oklahoma State,75.66666666666667
Old Dominion,40.333333333333336
Oral Roberts,80.66666666666667
Oregon,75.0
Oregon State,57.0
Pacific,50.0
Penn State,75.0
Pennsylvania,63.333333333333336
Pepperdine,66.0
Pittsburgh,79.33333333333333
Portland,58.333333333333336
Portland State,68.33333333333333
Prairie View A&M,45.0
Presbyterian,66.66666666666667
Princeton,79.0
Providence,74.66666666666667
Purdue,86.66666666666667
Purdue Fort Wayne,70.33333333333333
Queens (NC),71.0
Quinnipiac,75.33333333333333
Radford,58.666666666666664
Rhode Island,70.0
Rice,45.0
Richmond,68.66666666666667
Rider,45.666666666666664
Robert Morris,45.0
Rutgers,76.66666666666667
SIU Edwardsville,56.666666666666664
Sacramento State,64.66666666666667
Sacred Heart,70.0
Saint Bonaventure,72.0
Saint Francis (NY),49.666666666666664
Saint Francis (PA),42.333333333333336
Saint John's (NY),71.0
Saint Joseph's,55.0
Saint Louis,69.66666666666667
Saint Mary's (CA),82.0
Saint Peter's,69.66666666666667
Saint Thomas (FL),72.0
Sam Houston State,66.33333333333333
Samford,64.0
San Diego,64.66666666666667
San Diego State,89.0
San Francisco,71.0
San Jose State,64.66666666666667
Santa Clara,73.66666666666667
Seattle,69.0
Seton Hall,68.33333333333333
Siena,35.0
South Alabama,67.33333333333333
South Carolina,73.66666666666667
South Carolina State,63.666666666666664
South Carolina Upstate,65.0
South Dakota,68.66666666666667
South Dakota State,73.66666666666667
South Florida,65.66666666666667
Southeast Missouri State,66.33333333333333
Southeastern Louisiana,67.66666666666667
Southern,63.0
Southern California,77.0
Southern Illinois,73.33333333333333
Southern Indiana,69.66666666666667
Southern Methodist,72.66666666666667
Southern Mississippi,73.0
Southern Utah,73.0
Stanford,74.66666666666667
Stephen F. Austin,66.66666666666667
Stetson,60.333333333333336
Stonehill,66.33333333333333
Stony Brook,66.66666666666667
Syracuse,74.66666666666667
TCU,72.0
Tarleton State,68.66666666666667
Temple,72.0
Tennessee,77.33333333333333
Tennessee Martin,54.666666666666664
Tennessee State,74.0
Tennessee Tech,61.666666666666664
Texas,80.0
Texas A&M,75.0
Texas A&M Commerce,59.0
Texas A&M Corpus Christi,70.33333333333333
Texas Rio Grande Valley,64.0
Texas Southern,64.66666666666667
Texas State,73.0
Texas Tech,74.33333333333333
The Citadel,53.666666666666664
Toledo,75.66666666666667
Towson,71.0
Troy,68.33333333333333
Tulane,72.66666666666667
Tulsa,73.0
UAB,74.66666666666667
UC Davis,68.33333333333333
UC Irvine,75.33333333333333
UC Riverside,69.66666666666667
UC San Diego,69.66666666666667
UC Santa Barbara,73.0
UCLA,80.0
UMKC,64.33333333333333
UNC Asheville,78.66666666666667
UNC Greensboro,69.33333333333333
UNC Wilmington,80.0
UT Arlington,71.33333333333333
UTEP,68.0
UTSA,70.33333333333333
Utah,70.66666666666667
Utah State,84.33333333333333
Utah Tech,72.66666666666667
Utah Valley,72.33333333333333
VMI,44.0
Valparaiso,51.333333333333336
Vanderbilt,74.0
Vermont,79.33333333333333
Villanova,71.33333333333333
Virginia,85.0
Virginia Commonwealth,75.0
Virginia Tech,73.66666666666667
Wagner,73.0
Wake Forest,73.0
Washington,70.33333333333333
Washington State,72.33333333333333
Weber State,70.66666666666667
West Virginia,77.0
Western Carolina,62.333333333333336
Western Illinois,67.33333333333333
Western Kentucky,74.0
Western Michigan,56.666666666666664
Wichita State,42.333333333333336
William & Mary,58.0
Winthrop,69.0
Wisconsin,71.66666666666667
Wofford,66.66666666666667
Wright State,68.0
Wyoming,56.333333333333336
Xavier,74.0
Yale,83.0
Youngstown State,70.66666666666667
